molecule_chembl_id,canonical_smiles,standard_value,activity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,pIC50,ADV_affinity
CHEMBL78337,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,2.0,active,424.9060000000002,2.8758000000000017,2.0,6.0,95.94,8.698970004336019,-7.5
CHEMBL81763,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C3CCCCCCC3)CC2)cc1,138.0,active,424.5630000000004,2.9218,2.0,6.0,95.94,6.860120913598763,-7.1
CHEMBL311436,O=C(NO)C1(S(=O)(=O)c2ccc(-c3ccco3)cc2)CCN(Cc2ccccc2)CC1,3.0,active,440.5210000000003,3.260500000000002,2.0,6.0,99.85,8.522878745280337,-8.4
CHEMBL80401,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(F)cc3)CC2)cc1,19.0,active,464.55900000000025,3.318500000000002,2.0,6.0,95.94,7.721246399047171,-10.0
CHEMBL419648,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1,10.0,active,370.4710000000002,1.609,2.0,6.0,95.94,8.0,-6.4
CHEMBL311357,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,1.0,active,466.9870000000002,4.046100000000003,2.0,6.0,95.94,9.0,-7.6
CHEMBL310057,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCc3ccccc3)CC2)cc1,45.0,active,418.5150000000002,2.051599999999999,2.0,6.0,95.94,7.346787486224656,-7.6
CHEMBL420023,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCC)CC2)cc1,28.0,active,412.5520000000003,2.779300000000001,2.0,6.0,95.94,7.552841968657781,-7.2
CHEMBL312585,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1,484.0,active,328.3900000000001,0.4386999999999996,2.0,6.0,95.94,6.315154638355588,-6.1
CHEMBL309416,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(F)cc3)CC2)cc1,16.0,active,422.4780000000002,2.148199999999999,2.0,6.0,95.94,7.795880017344075,-7.9
CHEMBL80798,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccn4)cc3)CC2)cc1,6.0,active,481.5740000000002,3.0711000000000013,2.0,7.0,108.83,8.221848749616356,-8.6
CHEMBL78611,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,5.0,active,490.6220000000004,3.4483000000000024,2.0,7.0,105.17,8.301029995663981,-9.2
CHEMBL76847,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,26.0,active,434.5140000000002,1.8878999999999988,2.0,7.0,105.17,7.585026652029182,-7.7
CHEMBL310342,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(OC)cc2)CC1,364.0,active,342.41700000000014,0.8288000000000002,2.0,6.0,95.94,6.438898616350944,-5.6
CHEMBL76856,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,12.0,active,434.5140000000002,2.0177,2.0,7.0,105.17,7.920818753952375,-7.6
CHEMBL78962,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,6.0,active,473.3780000000002,3.315900000000002,2.0,6.0,95.94,8.221848749616356,-7.1
CHEMBL310324,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(OC)cc2)CC1,452.0,active,370.4710000000002,1.609,2.0,6.0,95.94,6.3448615651886175,-6.3
CHEMBL78709,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C(C)C)CC2)cc1,374.0,active,356.44400000000013,1.2172999999999992,2.0,6.0,95.94,6.42712839779952,-6.6
CHEMBL309492,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,4.0,active,446.5690000000002,3.179400000000001,2.0,6.0,95.94,8.397940008672037,-8.8
CHEMBL80911,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OCCN4CCOCC4)c3)CC2)cc1,2.0,active,575.7280000000004,2.8904000000000014,2.0,9.0,117.64,8.698970004336019,-8.0
CHEMBL78255,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Br)cc3)CC2)cc1,10.0,active,483.3840000000002,2.7716000000000003,2.0,6.0,95.94,8.0,-7.9
CHEMBL78478,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OC)cc3)CC2)cc1,3.0,active,476.5950000000003,3.188000000000001,2.0,7.0,105.17,8.522878745280337,-9.1
CHEMBL77176,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(C)cc3)CC2)cc1,17.0,active,418.5150000000002,2.317519999999999,2.0,6.0,95.94,7.769551078621726,-7.7
CHEMBL279785,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,1.5,active,331.41300000000007,-0.208099999999999,5.0,5.0,127.76,8.823908740944319,0.0
CHEMBL125901,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccncc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,341.0,active,458.5430000000003,4.125200000000003,1.0,7.0,97.97,6.467245621007502,-11.6
CHEMBL125302,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3nccs3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,6.0,active,464.5720000000003,4.186700000000003,1.0,8.0,97.97,8.221848749616356,-11.0
CHEMBL125138,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3nc4ccccc4s3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,661.0,active,514.6320000000003,5.3399000000000045,1.0,8.0,97.97,6.179798540514359,-12.8
CHEMBL126711,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2S1(=O)=O,35.0,active,528.0510000000003,5.423200000000006,1.0,5.0,91.75,7.455931955649724,-12.5
CHEMBL123503,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(F)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,26.0,active,503.5950000000003,5.544000000000005,1.0,4.0,74.68,7.585026652029182,-11.9
CHEMBL126712,CC1(C)NC(=O)N(C[C@@H]2CC[C@H](Sc3ccc(-c4ccc(Cl)cc4)cc3)[C@H]2C(=O)O)C1=O,3.3,active,472.9940000000002,4.908900000000005,2.0,4.0,86.71000000000001,8.481486060122112,-11.7
CHEMBL127035,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1NNc2ccsc2C1=O,62.0,active,500.0450000000002,5.627500000000004,3.0,6.0,81.66999999999999,7.207608310501746,-11.4
